key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1
,,,,,,,,,,,,,FF,,,,,,,,0.7823,,,,,,,,,,,,,,,,,,,,,,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2561,-83.59765625,48.49609375,1,0,0,response7disk,,1,4.28515625,3.109375,1,0,0,rectangle,4.28515625,3.109375,1,0,0,4.28515625,3.109375,1,0,0,0,3,3,96,1,
,,,,,,,,,,,,,FF,,,,,,,,0.8848,,,,,,,,,,,,,,,,,,,,,,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4235,-54.37109375,81.59765625,1,0,0,response7disk,,0,-1.11328125,0.9609375,1,0,0,rectangle,-1.11328125,0.9609375,1,0,0,-1.11328125,0.9609375,1,0,0,0,4,4,156,1,
,,,,,,,,,,,,,FF,,,,,,,,0.9492,,,,,,,,,,,,,,,,,,,,,,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3198,-80.11328125,-62.84765625,1,0,0,response5disk,,2,4.64453125,-12.93359375,1,0,0,rectangle,4.64453125,-12.93359375,1,0,0,4.64453125,-12.93359375,1,0,0,0,5,5,19,1,
,,,,,,,,,,,,,FF,,,,,,,,0.683,,,,,,,,,,,,,,,,,,,,,,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3557,-86.38671875,-53.6484375,1,0,0,response5disk,,2,14.171875,-1.59375,1,0,0,rectangle,14.171875,-1.59375,1,0,0,14.171875,-1.59375,1,0,0,0,6,6,140,1,
,,,,,,,,,,,,,FF,,,,,,,,0.6685,,,,,,,,,,,,,,,,,,,,,,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1262,79.703125,61.76171875,1,0,0,response1disk,,6,29.37890625,2.69921875,1,0,0,rectangle,29.37890625,2.69921875,1,0,0,29.37890625,2.69921875,1,0,0,0,7,7,86,1,
,,,,,,,,,,,,,FF,,,,,,,,0.7844,,,,,,,,,,,,,,,,,,,,,,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2214,48.31640625,-109.7070313,1,0,0,response3disk,,4,14.44140625,5.68359375,1,0,0,rectangle,14.44140625,5.68359375,1,0,0,14.44140625,5.68359375,1,0,0,0,8,8,126,1,
,,,,,,,,,,,,,FF,,,,,,,,0.7168,,,,,,,,,,,,,,,,,,,,,,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,618,118.0625,-49.21875,1,0,0,response3disk,,5,4.15625,5.09375,1,0,0,rectangle,4.15625,5.09375,1,0,0,4.15625,5.09375,1,0,0,0,9,9,158,1,
,,,,,,,,,,,,,FF,,,,,,,,0.7165,,,,,,,,,,,,,,,,,,,,,,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2558,-76.87890625,-48.69140625,1,0,0,response5disk,,2,-18.78515625,-1.69921875,1,0,0,rectangle,-18.78515625,-1.69921875,1,0,0,-18.78515625,-1.69921875,1,0,0,0,10,10,101,1,
,,,,,,,,,,,,,FF,,,,,,,,0.6001,,,,,,,,,,,,,,,,,,,,,,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3446,-77.65234375,-42.4921875,1,0,0,response5disk,,2,-4.94921875,1.3046875,1,0,0,rectangle,-4.94921875,1.3046875,1,0,0,-4.94921875,1.3046875,1,0,0,0,11,11,95,1,
,,,,,,,,,,,,,FF,,,,,,,,0.8167,,,,,,,,,,,,,,,,,,,,,,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,93,-56.16796875,82.61328125,1,0,0,response7disk,,0,2.84375,-6.2734375,1,0,0,rectangle,2.84375,-6.2734375,1,0,0,2.84375,-6.2734375,1,0,0,0,12,12,44,1,
