key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1
,,,,,,,,,,,,,FF,,,,,,,,4.0165,,,,,,,,,,,,,,,,,,,,,,610048e0cb6a01bb2ac7aa76,61036f729149836248130cf5,2021-07-29_20h19.41.924,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,952,51.63671875,-91.515625,1,0,0,response3disk,,4,-1.40625,2.58203125,1,0,0,rectangle,-1.40625,2.58203125,1,0,0,,,,,,,-1.40625,2.58203125,1,0,0,,0,3,3,138,1,
,,,,,,,,,,,,,FF,,,,,,,,1.1339,,,,,,,,,,,,,,,,,,,,,,610048e0cb6a01bb2ac7aa76,61036f729149836248130cf5,2021-07-29_20h19.41.924,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3146,-48.421875,82.48046875,1,0,0,response7disk,,0,12.66015625,2.03125,1,0,0,rectangle,12.66015625,2.03125,1,0,0,,,,,,,12.66015625,2.03125,1,0,0,,0,4,4,150,1,
,,,,,,,,,,,,,FF,,,,,,,,1.2501,,,,,,,,,,,,,,,,,,,,,,610048e0cb6a01bb2ac7aa76,61036f729149836248130cf5,2021-07-29_20h19.41.924,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1785,30.453125,-87.609375,1,0,0,response3disk,,4,-13.62890625,8.0859375,1,0,0,rectangle,-13.62890625,8.0859375,1,0,0,,,,,,,-13.62890625,8.0859375,1,0,0,,0,5,5,13,1,
,,,,,,,,,,,,,FF,,,,,,,,2.1161,,,,,,,,,,,,,,,,,,,,,,610048e0cb6a01bb2ac7aa76,61036f729149836248130cf5,2021-07-29_20h19.41.924,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3944,71.97265625,-48.1171875,1,0,0,response3disk,,5,2.6484375,6.4140625,1,0,0,rectangle,2.6484375,6.4140625,1,0,0,,,,,,,2.6484375,6.4140625,1,0,0,,0,6,6,8,1,
,,,,,,,,,,,,,FF,,,,,,,,1.6327,,,,,,,,,,,,,,,,,,,,,,610048e0cb6a01bb2ac7aa76,61036f729149836248130cf5,2021-07-29_20h19.41.924,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3186,34.51171875,77.71875,1,0,0,response1disk,,7,9.0234375,-3.91796875,1,0,0,rectangle,9.0234375,-3.91796875,1,0,0,,,,,,,9.0234375,-3.91796875,1,0,0,,0,7,7,35,1,
,,,,,,,,,,,,,FF,,,,,,,,1.801,,,,,,,,,,,,,,,,,,,,,,610048e0cb6a01bb2ac7aa76,61036f729149836248130cf5,2021-07-29_20h19.41.924,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2101,33.2578125,-77.609375,1,0,0,response3disk,,4,-0.578125,-8.671875,1,0,0,rectangle,-0.578125,-8.671875,1,0,0,,,,,,,-0.578125,-8.671875,1,0,0,,0,8,8,156,1,
,,,,,,,,,,,,,FF,,,,,,,,0.9838,,,,,,,,,,,,,,,,,,,,,,610048e0cb6a01bb2ac7aa76,61036f729149836248130cf5,2021-07-29_20h19.41.924,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2204,41.109375,81.81640625,1,0,0,response1disk,,7,2.78515625,7.9296875,1,0,0,rectangle,2.78515625,7.9296875,1,0,0,,,,,,,2.78515625,7.9296875,1,0,0,,0,9,9,23,1,
,,,,,,,,,,,,,FF,,,,,,,,3.05,,,,,,,,,,,,,,,,,,,,,,610048e0cb6a01bb2ac7aa76,61036f729149836248130cf5,2021-07-29_20h19.41.924,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,202,32.25,-93.8984375,1,0,0,response3disk,,4,-12.31640625,-0.7578125,1,0,0,rectangle,-12.31640625,-0.7578125,1,0,0,,,,,,,-12.31640625,-0.7578125,1,0,0,,0,10,10,47,1,
,,,,,,,,,,,,,FF,,,,,,,,2.3329,,,,,,,,,,,,,,,,,,,,,,610048e0cb6a01bb2ac7aa76,61036f729149836248130cf5,2021-07-29_20h19.41.924,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1242,83.859375,55.796875,1,0,0,response1disk,,6,-2.23828125,-11.58203125,1,0,0,rectangle,-2.23828125,-11.58203125,1,0,0,,,,,,,-2.23828125,-11.58203125,1,0,0,,0,11,11,98,1,
,,,,,,,,,,,,,FF,,,,,,,,0.8678,,,,,,,,,,,,,,,,,,,,,,610048e0cb6a01bb2ac7aa76,61036f729149836248130cf5,2021-07-29_20h19.41.924,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1547,36.22265625,80.55859375,1,0,0,response1disk,,7,10.19921875,-6.22265625,1,0,0,rectangle,10.19921875,-6.22265625,1,0,0,,,,,,,10.19921875,-6.22265625,1,0,0,,0,12,12,147,1,
,,,,,,,,,,,,,FF,,,,,,,,0.8511,,,,,,,,,,,,,,,,,,,,,,610048e0cb6a01bb2ac7aa76,61036f729149836248130cf5,2021-07-29_20h19.41.924,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1696,54.3125,75.72265625,1,0,0,response1disk,,7,15.66015625,1.1015625,1,0,0,rectangle,15.66015625,1.1015625,1,0,0,,,,,,,15.66015625,1.1015625,1,0,0,,0,13,13,68,1,
