key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name
space,2.8012,space,6.0581,space,24.5618,space,4.3343,space,1.0112,space,3.1762,137,PF,55.60001227,24.79999393,1,0,0,response1disk_5,6,2.4669,1.14441E-05,-9.200006574,1,0,0,rectangle_8,1.14441E-05,-9.200006574,1,0,0,1.14441E-05,-9.200006574,1,0,0,0,0,0,6,1,60fde33aa9decaaed4ed0234,61036adceb579a8efc685ea7,2021-07-29_21h59.34.854,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,
,,,,,,,,,,,,136,FF,47.60006098,23.59999391,1,0,0,response1disk_5,6,1.2653,14.00001165,-6.800006539,1,0,0,rectangle_8,65.20001242,-49.20000717,1,0,0,-0.399939734,1.999993593,1,0,0,0,1,1,3,1,60fde33aa9decaaed4ed0234,61036adceb579a8efc685ea7,2021-07-29_21h59.34.854,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,5,2.4686,5,"[2,5]",rectangle_4
,,,,,,,,,,,,90,FF,-77.59998971,41.99999419,1,0,0,response7disk_5,1,1.6167,-5.999988645,-8.000006557,1,0,0,rectangle_8,-5.999988645,-8.000006557,1,0,0,-5.999988645,-8.000006557,1,0,0,0,2,2,0,1,60fde33aa9decaaed4ed0234,61036adceb579a8efc685ea7,2021-07-29_21h59.34.854,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,
,,,,,,,,,,,,111,PF,65.60001242,39.99999416,1,0,0,response1disk_5,6,2.0158,2.000011474,-1.600006461,1,0,0,rectangle_8,2.000011474,-1.600006461,1,0,0,2.000011474,-1.600006461,1,0,0,0,3,3,2,1,60fde33aa9decaaed4ed0234,61036adceb579a8efc685ea7,2021-07-29_21h59.34.854,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,
