key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name,trials_2.order
space,1.069,space,20.9625,space,15.8359,space,3.7689,space,0.6814,space,2.4954,104,FF,57.33829355,-80.79439241,1,0,0,response3disk_5,4,11.0697,-16.88075053,3.524261193,1,0,0,rectangle_8,-16.88075053,3.524261193,1,0,0,-16.88075053,3.524261193,1,0,0,0,0,0,5,1,60fcbd2e5fe1b36118174cb6,61036e9cf105adf521ac049b,2021-07-29_20h15.34.824,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,131,FF,-67.50721612,-82.90772252,1,0,0,response5disk_5,3,7.1913,2.780822032,1.160540455,1,0,0,rectangle_8,-88.1953512,48.68480874,1,0,0,12.34444522,-2.475006474,1,0,0,0,1,1,3,1,60fcbd2e5fe1b36118174cb6,61036e9cf105adf521ac049b,2021-07-29_20h15.34.824,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,response7disk_7,1,4.6299,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,63,PF,99.69542309,45.5995792,1,0,0,response1disk_5,6,5.3223,-29.91478392,-8.205768278,1,0,0,rectangle_8,-29.91478392,-8.205768278,1,0,0,-29.91478392,-8.205768278,1,0,0,0,2,2,2,1,60fcbd2e5fe1b36118174cb6,61036e9cf105adf521ac049b,2021-07-29_20h15.34.824,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,83,PF,-113.2497949,-64.76978279,1,0,0,response5disk_5,2,3.5093,25.07637901,11.2127867,1,0,0,rectangle_8,25.07637901,11.2127867,1,0,0,25.07637901,11.2127867,1,0,0,0,3,3,4,1,60fcbd2e5fe1b36118174cb6,61036e9cf105adf521ac049b,2021-07-29_20h15.34.824,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,113,PF,28.72359586,113.8759962,1,0,0,response1disk_5,7,1.5258,-24.08206899,-3.339557268,1,0,0,rectangle_8,-91.58182586,31.53346571,1,0,0,-13.65257665,1.250921316,1,0,0,0,4,4,1,1,60fcbd2e5fe1b36118174cb6,61036e9cf105adf521ac049b,2021-07-29_20h15.34.824,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,response7disk_7,1,2.2577,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,3,PF,107.6405404,-65.94029062,1,0,0,response3disk_5,5,2.4188,-30.12147338,-2.568805304,1,0,0,rectangle_8,-30.12147338,-2.568805304,1,0,0,-30.12147338,-2.568805304,1,0,0,0,5,5,6,1,60fcbd2e5fe1b36118174cb6,61036e9cf105adf521ac049b,2021-07-29_20h15.34.824,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9,FF,117.1169077,29.63422252,1,0,0,response1disk_5,6,1.9306,-4.365271824,12.38807968,1,0,0,rectangle_8,-4.365271824,12.38807968,1,0,0,-4.365271824,12.38807968,1,0,0,0,6,6,0,1,60fcbd2e5fe1b36118174cb6,61036e9cf105adf521ac049b,2021-07-29_20h15.34.824,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4685,,,,,,,,,,,,,,,,,,,,,,60fcbd2e5fe1b36118174cb6,61036e9cf105adf521ac049b,2021-07-29_20h15.34.824,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,space,1.7523,2158,97.19513008,49.04420816,1,0,0,response1disk,,6,9.247863144,-3.881451808,1,0,0,rectangle,9.247863144,-3.881451808,1,0,0,9.247863144,-3.881451808,1,0,0,0,0,0,41,1,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.379,,,,,,,,,,,,,,,,,,,,,,60fcbd2e5fe1b36118174cb6,61036e9cf105adf521ac049b,2021-07-29_20h15.34.824,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,3265,21.45137895,118.5509231,1,0,0,response1disk,,7,2.177697023,-8.120856168,1,0,0,rectangle,2.177697023,-8.120856168,1,0,0,2.177697023,-8.120856168,1,0,0,0,1,1,70,1,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3637,,,,,,,,,,,,,,,,,,,,,,60fcbd2e5fe1b36118174cb6,61036e9cf105adf521ac049b,2021-07-29_20h15.34.824,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,4069,81.61876266,125.8477982,1,0,0,response1disk,,7,25.26563682,0.788470137,1,0,0,rectangle,25.26563682,0.788470137,1,0,0,25.26563682,0.788470137,1,0,0,0,2,2,101,1,,,,,,,,,
