key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name,trials_2.order
,,,,,,,,,,,,,FF,,,,,,,,1.5372,,,,,,,,,,,,,,,,,,,,,,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2946,-87.625,44.4375,1,0,0,response7disk,,1,-9.05078125,-2.12109375,1,0,0,rectangle,-9.05078125,-2.12109375,1,0,0,-9.05078125,-2.12109375,1,0,0,0,3,3,4,1,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.101,,,,,,,,,,,,,,,,,,,,,,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,360,53.31640625,89.17578125,1,0,0,response1disk,,7,-6.203125,4.1171875,1,0,0,rectangle,-6.203125,4.1171875,1,0,0,-6.203125,4.1171875,1,0,0,0,4,4,61,1,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.9388,,,,,,,,,,,,,,,,,,,,,,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,743,45.1796875,-99.8046875,1,0,0,response3disk,,4,-1.33984375,2.890625,1,0,0,rectangle,-1.33984375,2.890625,1,0,0,-1.33984375,2.890625,1,0,0,0,5,5,113,1,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8054,,,,,,,,,,,,,,,,,,,,,,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1675,-86.6875,53.33984375,1,0,0,response7disk,,1,-5.73828125,0.4609375,1,0,0,rectangle,-5.73828125,0.4609375,1,0,0,-5.73828125,0.4609375,1,0,0,0,6,6,44,1,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.837,,,,,,,,,,,,,,,,,,,,,,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4055,-26.34375,-88.76171875,1,0,0,response5disk,,3,17.19140625,-0.0859375,1,0,0,rectangle,17.19140625,-0.0859375,1,0,0,17.19140625,-0.0859375,1,0,0,0,7,7,55,1,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.423,,,,,,,,,,,,,,,,,,,,,,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2825,-66.859375,-86.640625,1,0,0,response5disk,,3,-7.625,-1.84375,1,0,0,rectangle,-7.625,-1.84375,1,0,0,-7.625,-1.84375,1,0,0,0,8,8,75,1,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0556,,,,,,,,,,,,,,,,,,,,,,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2120,65.25390625,-106.46875,1,0,0,response3disk,,4,10.6953125,3.94140625,1,0,0,rectangle,10.6953125,3.94140625,1,0,0,10.6953125,3.94140625,1,0,0,0,9,9,104,1,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.6575,,,,,,,,,,,,,,,,,,,,,,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2712,36.23828125,-81.15625,1,0,0,response3disk,,4,-8.83203125,6.00390625,1,0,0,rectangle,-8.83203125,6.00390625,1,0,0,-8.83203125,6.00390625,1,0,0,0,10,10,58,1,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3533,,,,,,,,,,,,,,,,,,,,,,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3594,83.21875,-40.1953125,1,0,0,response3disk,,5,10.0078125,4.21484375,1,0,0,rectangle,10.0078125,4.21484375,1,0,0,10.0078125,4.21484375,1,0,0,0,11,11,101,1,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7705,,,,,,,,,,,,,,,,,,,,,,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2846,72.1640625,-43.46875,1,0,0,response3disk,,5,-34.203125,6.2578125,1,0,0,rectangle,-34.203125,6.2578125,1,0,0,-34.203125,6.2578125,1,0,0,0,12,12,46,1,,,,,,,,,
