key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1
,,,,,,,,,,,,,FF,,,,,,,,1.1168,,,,,,,,,,,,,,,,,,,,,,60fcdf62ae64294443dd010d,610368b8b1bd52c528ebd7b6,2021-07-29_19h50.32.535,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,672,114.6679688,-50.6875,1,0,0,response3disk,,5,17.91796875,-3.2421875,1,0,0,rectangle,17.91796875,-3.2421875,1,0,0,,,,,,,17.91796875,-3.2421875,1,0,0,,0,3,3,101,1,
,,,,,,,,,,,,,FF,,,,,,,,2.8838,,,,,,,,,,,,,,,,,,,,,,60fcdf62ae64294443dd010d,610368b8b1bd52c528ebd7b6,2021-07-29_19h50.32.535,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1376,22.80859375,-100.0625,1,0,0,response3disk,,4,5.453125,-5.36328125,1,0,0,rectangle,5.453125,-5.36328125,1,0,0,,,,,,,5.453125,-5.36328125,1,0,0,,0,4,4,7,1,
,,,,,,,,,,,,,FF,,,,,,,,1.5496,,,,,,,,,,,,,,,,,,,,,,60fcdf62ae64294443dd010d,610368b8b1bd52c528ebd7b6,2021-07-29_19h50.32.535,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4357,-93.359375,-51.7109375,1,0,0,response5disk,,2,-6.31640625,-4.91015625,1,0,0,rectangle,-6.31640625,-4.91015625,1,0,0,,,,,,,-6.31640625,-4.91015625,1,0,0,,0,5,5,6,1,
,,,,,,,,,,,,,FF,,,,,,,,1.0341,,,,,,,,,,,,,,,,,,,,,,60fcdf62ae64294443dd010d,610368b8b1bd52c528ebd7b6,2021-07-29_19h50.32.535,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,808,-99.140625,-46.08203125,1,0,0,response5disk,,2,-10.08984375,-6.3359375,1,0,0,rectangle,-10.08984375,-6.3359375,1,0,0,,,,,,,-10.08984375,-6.3359375,1,0,0,,0,6,6,155,1,
,,,,,,,,,,,,,FF,,,,,,,,1.8664,,,,,,,,,,,,,,,,,,,,,,60fcdf62ae64294443dd010d,610368b8b1bd52c528ebd7b6,2021-07-29_19h50.32.535,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3859,-31.34375,-85.03125,1,0,0,response5disk,,3,18.60546875,-2.3203125,1,0,0,rectangle,18.60546875,-2.3203125,1,0,0,,,,,,,18.60546875,-2.3203125,1,0,0,,0,7,7,128,1,
,,,,,,,,,,,,,FF,,,,,,,,1.0176,,,,,,,,,,,,,,,,,,,,,,60fcdf62ae64294443dd010d,610368b8b1bd52c528ebd7b6,2021-07-29_19h50.32.535,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1833,63.75390625,-79.17578125,1,0,0,response3disk,,4,15.859375,2.42578125,1,0,0,rectangle,15.859375,2.42578125,1,0,0,,,,,,,15.859375,2.42578125,1,0,0,,0,8,8,65,1,
,,,,,,,,,,,,,FF,,,,,,,,1.4506,,,,,,,,,,,,,,,,,,,,,,60fcdf62ae64294443dd010d,610368b8b1bd52c528ebd7b6,2021-07-29_19h50.32.535,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3817,-50.69140625,-62.4921875,1,0,0,response5disk,,3,-15.1640625,-8.2421875,1,0,0,rectangle,-15.1640625,-8.2421875,1,0,0,,,,,,,-15.1640625,-8.2421875,1,0,0,,0,9,9,14,1,
,,,,,,,,,,,,,FF,,,,,,,,1.0834,,,,,,,,,,,,,,,,,,,,,,60fcdf62ae64294443dd010d,610368b8b1bd52c528ebd7b6,2021-07-29_19h50.32.535,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2213,112.4921875,-32.20703125,1,0,0,response3disk,,5,16.53125,3.00390625,1,0,0,rectangle,16.53125,3.00390625,1,0,0,,,,,,,16.53125,3.00390625,1,0,0,,0,10,10,20,1,
,,,,,,,,,,,,,FF,,,,,,,,1.217,,,,,,,,,,,,,,,,,,,,,,60fcdf62ae64294443dd010d,610368b8b1bd52c528ebd7b6,2021-07-29_19h50.32.535,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2375,86.1171875,-27.3203125,1,0,0,response3disk,,5,4.734375,-5.1328125,1,0,0,rectangle,4.734375,-5.1328125,1,0,0,,,,,,,4.734375,-5.1328125,1,0,0,,0,11,11,74,1,
,,,,,,,,,,,,,FF,,,,,,,,1.0835,,,,,,,,,,,,,,,,,,,,,,60fcdf62ae64294443dd010d,610368b8b1bd52c528ebd7b6,2021-07-29_19h50.32.535,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1900,43.8203125,-93.0390625,1,0,0,response3disk,,4,20.1015625,10.703125,1,0,0,rectangle,20.1015625,10.703125,1,0,0,,,,,,,20.1015625,10.703125,1,0,0,,0,12,12,82,1,
,,,,,,,,,,,,,FF,,,,,,,,1.4833,,,,,,,,,,,,,,,,,,,,,,60fcdf62ae64294443dd010d,610368b8b1bd52c528ebd7b6,2021-07-29_19h50.32.535,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2085,89.67578125,-88.1875,1,0,0,response3disk,,5,-0.640625,-1.5078125,1,0,0,rectangle,-0.640625,-1.5078125,1,0,0,,,,,,,-0.640625,-1.5078125,1,0,0,,0,13,13,153,1,
,,,,,,,,,,,,,FF,,,,,,,,0.8349,,,,,,,,,,,,,,,,,,,,,,60fcdf62ae64294443dd010d,610368b8b1bd52c528ebd7b6,2021-07-29_19h50.32.535,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1985,52.3125,-94.73046875,1,0,0,response3disk,,4,7.73046875,-0.453125,1,0,0,rectangle,7.73046875,-0.453125,1,0,0,,,,,,,7.73046875,-0.453125,1,0,0,,0,14,14,147,1,
,,,,,,,,,,,,,FF,,,,,,,,1.5339,,,,,,,,,,,,,,,,,,,,,,60fcdf62ae64294443dd010d,610368b8b1bd52c528ebd7b6,2021-07-29_19h50.32.535,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1288,-48.0390625,-71.546875,1,0,0,response5disk,,3,-3.57421875,-1.33984375,1,0,0,rectangle,-3.57421875,-1.33984375,1,0,0,,,,,,,-3.57421875,-1.33984375,1,0,0,,0,15,15,131,1,
,,,,,,,,,,,,,FF,,,,,,,,1.5507,,,,,,,,,,,,,,,,,,,,,,60fcdf62ae64294443dd010d,610368b8b1bd52c528ebd7b6,2021-07-29_19h50.32.535,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4056,44.765625,-81.4375,1,0,0,response3disk,,4,21.20703125,-4.01953125,1,0,0,rectangle,21.20703125,-4.01953125,1,0,0,,,,,,,21.20703125,-4.01953125,1,0,0,,0,16,16,23,1,
,,,,,,,,,,,,,FF,,,,,,,,1.2339,,,,,,,,,,,,,,,,,,,,,,60fcdf62ae64294443dd010d,610368b8b1bd52c528ebd7b6,2021-07-29_19h50.32.535,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1212,-57.875,-75.7421875,1,0,0,response5disk,,3,6.4453125,-4.3515625,1,0,0,rectangle,6.4453125,-4.3515625,1,0,0,,,,,,,6.4453125,-4.3515625,1,0,0,,0,17,17,30,1,
,,,,,,,,,,,,,FF,,,,,,,,0.8829,,,,,,,,,,,,,,,,,,,,,,60fcdf62ae64294443dd010d,610368b8b1bd52c528ebd7b6,2021-07-29_19h50.32.535,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2680,96.22265625,-53.375,1,0,0,response3disk,,5,5.99609375,5.3984375,1,0,0,rectangle,5.99609375,5.3984375,1,0,0,,,,,,,5.99609375,5.3984375,1,0,0,,0,18,18,95,1,
,,,,,,,,,,,,,FF,,,,,,,,1.3163,,,,,,,,,,,,,,,,,,,,,,60fcdf62ae64294443dd010d,610368b8b1bd52c528ebd7b6,2021-07-29_19h50.32.535,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1810,48.17578125,-64.41015625,1,0,0,response3disk,,4,-5.328125,-7.4453125,1,0,0,rectangle,-5.328125,-7.4453125,1,0,0,,,,,,,-5.328125,-7.4453125,1,0,0,,0,19,19,91,1,
,,,,,,,,,,,,,FF,,,,,,,,0.7172,,,,,,,,,,,,,,,,,,,,,,60fcdf62ae64294443dd010d,610368b8b1bd52c528ebd7b6,2021-07-29_19h50.32.535,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3377,39.18359375,-69.3125,1,0,0,response3disk,,4,-10.07421875,8.44921875,1,0,0,rectangle,-10.07421875,8.44921875,1,0,0,,,,,,,-10.07421875,8.44921875,1,0,0,,0,20,20,136,1,
,,,,,,,,,,,,,FF,,,,,,,,1.7333,,,,,,,,,,,,,,,,,,,,,,60fcdf62ae64294443dd010d,610368b8b1bd52c528ebd7b6,2021-07-29_19h50.32.535,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3437,-18.3203125,-83.90234375,1,0,0,response5disk,,3,2.17578125,-14.61328125,1,0,0,rectangle,46.09765625,81.90625,1,0,0,response1disk_3,TRUE,7,4,"[40,217,22,283,276,187,55,64,182,114,173,76,290,241,1,314,302,211,71,293]",0.9339,13.9765625,-8.74609375,1,0,0,rectangle,0,21,21,159,1,
,,,,,,,,,,,,,FF,,,,,,,,12.4343,,,,,,,,,,,,,,,,,,,,,,60fcdf62ae64294443dd010d,610368b8b1bd52c528ebd7b6,2021-07-29_19h50.32.535,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3659,72.390625,-33.8125,1,0,0,response3disk,,5,12.78515625,-1.9375,1,0,0,rectangle,12.78515625,-1.9375,1,0,0,,,,,,,12.78515625,-1.9375,1,0,0,,0,22,22,0,1,
,,,,,,,,,,,,,FF,,,,,,,,1.0833,,,,,,,,,,,,,,,,,,,,,,60fcdf62ae64294443dd010d,610368b8b1bd52c528ebd7b6,2021-07-29_19h50.32.535,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2316,57.1875,-106.1015625,1,0,0,response3disk,,4,10.4375,-12.46484375,1,0,0,rectangle,10.4375,-12.46484375,1,0,0,,,,,,,10.4375,-12.46484375,1,0,0,,0,23,23,54,1,
