key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1
,,,,,,,,,,,,,FF,,,,,,,,1.3163,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3465,79.33935547,-125.0992432,1,0,0,response3disk,,4,5.851379395,-5.485595703,1,0,0,rectangle,5.851379395,-5.485595703,1,0,0,5.851379395,-5.485595703,1,0,0,0,3,3,58,1,
,,,,,,,,,,,,,FF,,,,,,,,0.7828,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,156,36.50085449,95.22097778,1,0,0,response1disk,,7,9.241394043,-5.355895996,1,0,0,rectangle,9.241394043,-5.355895996,1,0,0,9.241394043,-5.355895996,1,0,0,0,4,4,37,1,
,,,,,,,,,,,,,FF,,,,,,,,1.0165,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3017,-85.59063721,-55.34613037,1,0,0,response5disk,,2,-0.381896973,-7.20892334,1,0,0,rectangle,-0.381896973,-7.20892334,1,0,0,-0.381896973,-7.20892334,1,0,0,0,5,5,89,1,
,,,,,,,,,,,,,FF,,,,,,,,1.2332,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2185,83.9520874,-57.30352783,1,0,0,response3disk,,5,18.64941406,-7.160705566,1,0,0,rectangle,18.64941406,-7.160705566,1,0,0,18.64941406,-7.160705566,1,0,0,0,6,6,69,1,
,,,,,,,,,,,,,FF,,,,,,,,0.0329,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2733,51.8805542,76.35876465,1,0,0,response1disk,,7,-4.043457031,5.794342041,1,0,0,rectangle,-4.043457031,5.794342041,1,0,0,-4.043457031,5.794342041,1,0,0,0,7,7,135,1,
,,,,,,,,,,,,,FF,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,153,-75.05871582,-62.79528809,1,0,0,response5disk,,2,12.30871582,-4.412353516,1,0,0,rectangle,12.30871582,-4.412353516,1,0,0,12.30871582,-4.412353516,1,0,0,0,8,8,91,1,
,,,,,,,,,,,,,FF,,,,,,,,1.2336,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4339,-33.7989502,84.23999023,1,0,0,response7disk,,0,6.540344238,-0.057617188,1,0,0,rectangle,6.540344238,-0.057617188,1,0,0,6.540344238,-0.057617188,1,0,0,0,9,9,99,1,
,,,,,,,,,,,,,FF,,,,,,,,0.9839,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,371,-73.64526367,-30.31939697,1,0,0,response5disk,,2,21.4876709,-15.70046997,1,0,0,rectangle,21.4876709,-15.70046997,1,0,0,21.4876709,-15.70046997,1,0,0,0,10,10,81,1,
,,,,,,,,,,,,,FF,,,,,,,,0.6517,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3910,-60.96496582,-39.32763672,1,0,0,response5disk,,2,-10.53570557,-12.63739014,1,0,0,rectangle,-10.53570557,-12.63739014,1,0,0,-10.53570557,-12.63739014,1,0,0,0,11,11,50,1,
,,,,,,,,,,,,,FF,,,,,,,,0.7497,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2750,46.54345703,106.480835,1,0,0,response1disk,,7,14.68927002,-6.450256348,1,0,0,rectangle,14.68927002,-6.450256348,1,0,0,14.68927002,-6.450256348,1,0,0,0,12,12,79,1,
