"#010300","#022C88","#02529A","#032040","#03406F","#034E49","#086E79","#09384C","#0A3B38","#0C4FA2","#163D1F","#171639","#207427","#261D6E","#293028","#2F2874","#331F3B","#3394B7","#367467","#39319E","#3F597A","#40A144","#41A79A","#427AC4","#430F59","#445507","#487F55","#4E486C","#52253C","#5891A2","#591D1F","#595F51","#5D4263","#5D6355","#5F7AA7","#5FC16E","#642B7C","#685A14","#68A899","#716B92","#7171C9","#73B7C3","#758E00","#76450B","#782918","#7C3D4E","#7D0B45","#7E8274","#83B37F","#84932A","#86A2C9","#8B5F92","#8DCFC1","#8F5AA8","#96484B","#9796C0","#9B081A","#9C1C53","#9DA193","#A25739","#A3E2AC","#A51A01","#AA8F02","#AAC901","#AC6401","#AE783C","#AEBE5A","#AF972D","#B06079","#B28AB7","#B4BAAC","#C4577A","#C5DD24","#D2797D","#D3BE51","#D8DACD","#D8E26A","#DA0B27","#E088A1","#E26164","#E49A5B","#E67E72","#E83406","#F4D000","#F699A1","#F6F7F1","#FAAF99","#FAC88D","#FB702E","#FBA628","#FBEC77","#FCDD2A","#FF8F00"
"#010300",0,5.91666666666667,6.54545454545455,4.35714285714286,6.28571428571429,6.08333333333333,6.92857142857143,5.07142857142857,4.55555555555556,6.9,4.85714285714286,3,6.71428571428571,5.57142857142857,2.3,5.5,4.1875,6.55555555555556,6.28571428571429,6.22222222222222,5.75,6.85,6.95454545454545,6.28571428571429,6.2,6.5625,6.57142857142857,5.45,4.5,6.88888888888889,5.33333333333333,5.16666666666667,6.38888888888889,5.16666666666667,6.33333333333333,6.75,6.1,5.35714285714286,6.85,6,7,6.72727272727273,7,6.8125,6,6.875,6.75,5.6,6.83333333333333,6.91666666666667,6.5,6.625,6.875,6.5,6.88888888888889,6.9,6.86363636363636,7,5.9,6.53571428571429,6.4375,6.1,6.75,6.875,6.91666666666667,6.8,6.66666666666667,6.65,6.8,6.92857142857143,6.27777777777778,6.90909090909091,6.70833333333333,6.96666666666667,6.83333333333333,5.92857142857143,7,6.9,7,7,6.94444444444444,7,6.875,6.41666666666667,7,7,6.83333333333333,7,7,7,7,7,6.92857142857143
"#022C88",5.91666666666667,0.166666666666667,1.33333333333333,2.94444444444444,1,4.75,2.33333333333333,3.5,5.77777777777778,1.5,5.4,3.4,5.86363636363636,1.1,4.3,1.88888888888889,4.91666666666667,2.625,3.71428571428571,1.75,2.68181818181818,5.7,3.66666666666667,2.5625,4.6,5.88888888888889,5.36363636363636,5,5.32142857142857,4.66666666666667,5.88888888888889,5.75,5.75,6.15,3.5,5.8,5,6.5,5.08333333333333,4.9,4.08333333333333,4.125,6.6,6.54545454545455,6.75,6.4375,6.28571428571429,6.8,6,6.6,3.23076923076923,5.64285714285714,4.66666666666667,5.92857142857143,6.1,4.1875,6.6875,6.22727272727273,6.21428571428571,6.625,5.83333333333333,7,6.5,6.41666666666667,7,6.5625,5.94444444444444,6.5625,6.42857142857143,6.125,6.42857142857143,6.7,6.58333333333333,6.33333333333333,6.91666666666667,6.66666666666667,6.66666666666667,6.77777777777778,6.6,6.77272727272727,6.9,6.42857142857143,6.75,6.875,6.875,6.66666666666667,6.66666666666667,6.83333333333333,6.75,6.91666666666667,6.59090909090909,6.64285714285714,6.625
"#02529A",6.54545454545455,1.33333333333333,0.142857142857143,3.75,1.75,4.0625,1.92857142857143,3,4,0.545454545454545,5.42857142857143,3.41666666666667,5.35,3,5.21428571428571,3.1875,5.41666666666667,3.64285714285714,4.41666666666667,1.3,2.875,6.2,3.92857142857143,3.5,5.75,5.75,5.58333333333333,4.875,6.14285714285714,2.83333333333333,6.59090909090909,5.625,4.94444444444444,5.55555555555556,2.7,5.27272727272727,5.92857142857143,6.5,3.92857142857143,4.58333333333333,3,3.35714285714286,6.33333333333333,6.83333333333333,6.625,5.78571428571429,6,5.6,5,6.25,2.91666666666667,5.25,4.71428571428571,5.77272727272727,5.92857142857143,4.2,6.85714285714286,6,6.7,6.5,6.08333333333333,7,6.5,6.5,6.5,6.85714285714286,6.22727272727273,6.6,6.54545454545455,5.64285714285714,6.5,6.66666666666667,6.83333333333333,6.42857142857143,6.64285714285714,6.4,6.44444444444444,6.95,6.90909090909091,6.73333333333333,6.625,6.33333333333333,6.91666666666667,6.7,6.71428571428571,6.85714285714286,6.66666666666667,6.875,6.5,6.72222222222222,6.4,6.83333333333333,6.90909090909091
"#032040",4.35714285714286,2.94444444444444,3.75,0.428571428571429,2.8,3.95454545454545,3.13636363636364,0.642857142857143,2.8125,3.57142857142857,5.5,0.666666666666667,5.72222222222222,1.91666666666667,3.16666666666667,3.7,3.16666666666667,4.14285714285714,4.375,3.375,2.72727272727273,5.4375,5,3.83333333333333,4.96153846153846,5.5,5.18181818181818,4,4.55555555555556,4.5,5.8125,4.5,4.91666666666667,4.70833333333333,3.66666666666667,4.85714285714286,5.33333333333333,5.71428571428571,4.61111111111111,5.5,5.25,4.83333333333333,5.5,6.21428571428571,5.08333333333333,6.5,6.21428571428571,6.2,6.11111111111111,6.44444444444444,3.8125,5.7,4.75,5.375,5.93333333333333,5.05555555555556,6.72222222222222,6.25,5.66666666666667,6.72222222222222,5.83333333333333,6.8125,6.61111111111111,6.64285714285714,6.65,6.6875,6.2,6.5625,6.66666666666667,5.90909090909091,5.72222222222222,6.625,7,6.5,6.92857142857143,6.20833333333333,6.42857142857143,6.81818181818182,6.91666666666667,6.38888888888889,6.76666666666667,6.78571428571429,6.625,6.9375,6.3,6.90909090909091,6.75,6.875,6.72727272727273,6.7,6.66666666666667,6.92857142857143,6.72727272727273
"#03406F",6.28571428571429,1,1.75,2.8,0.555555555555556,3.68181818181818,2.85714285714286,0.944444444444444,5.125,1.88888888888889,4.7,2.21428571428571,6.5,2.11111111111111,4.42307692307692,1.91666666666667,5.38888888888889,3.375,3.16666666666667,2,2.69230769230769,5.83333333333333,4.2,3.14285714285714,5.66666666666667,6.5,5.75,4.28571428571429,5.85,3.75,6.11538461538461,5.9375,5,5.72727272727273,2.79166666666667,4.75,5.3,6.11111111111111,5.25,4.75,3.7,4.41666666666667,5.72222222222222,6,6.64285714285714,6.33333333333333,6.5,6.9,5.7,5.78571428571429,3.45,5.21428571428571,4.35714285714286,5.1,6.22222222222222,4,6.5,6.5,5.66666666666667,6.42857142857143,5.2,6.1,6.5,6.57142857142857,6.875,6.5,5.77777777777778,5.5,6,6.13636363636364,6.625,6.3125,6.19230769230769,6.5,6.31818181818182,5.83333333333333,6.28571428571429,7,6.5625,6.95454545454545,6.85,6.875,6.25,6.95,6.44444444444444,6.85,6.35714285714286,6.55555555555556,6.8,6.86363636363636,6.41666666666667,6.5,6.4
"#034E49",6.08333333333333,4.75,4.0625,3.95454545454545,3.68181818181818,0.625,2.6,2.13636363636364,1,4.33333333333333,2.1875,3.25,3.91666666666667,5.125,3.14285714285714,4.78571428571429,5.40909090909091,4.75,1.875,4.3,3.25,3.21428571428571,2.9375,4.75,5.5,3.66666666666667,3.5625,5.55555555555556,6.16666666666667,4.72727272727273,6.54166666666667,4.8125,6.25,3.58333333333333,4.65,4.16666666666667,6.375,5.5,4,5.7,5.64285714285714,5.61111111111111,4,6.2,6.88888888888889,5.7,6.4375,3.8,3.1,4.5,4.64285714285714,6.27777777777778,4.67857142857143,6.22222222222222,6.61111111111111,6.375,6.55,6.78571428571429,6,6.6,4.41666666666667,6.71428571428571,5.75,4.5,6.44444444444444,6.64285714285714,4.25,5.57142857142857,5.75,5.9,5.2,6.375,5.3125,6.4375,6.58333333333333,6.3125,5.6875,6.83333333333333,6.57142857142857,6.86363636363636,6.25,6.72222222222222,6.66666666666667,6.86363636363636,6.45,6.95,6.8125,5.83333333333333,6.94444444444444,6.6875,6.25,6.625,6.88461538461539
"#086E79",6.92857142857143,2.33333333333333,1.92857142857143,3.13636363636364,2.85714285714286,2.6,0.428571428571429,3.5,4.27777777777778,3.0625,5.33333333333333,4.78571428571429,3.64285714285714,4.05555555555556,4.5,3.33333333333333,5.85,3.57142857142857,1.4,5.4,3.46153846153846,4.45,3.75,3.21428571428571,5.85714285714286,5,3.5,4.5,6.11111111111111,3.6,6.83333333333333,4.6875,5.77272727272727,4.75,3.64285714285714,4.18181818181818,6.125,5.5,3.22222222222222,4.83333333333333,4.95,2.42857142857143,5.4375,6.5,6.5,6.08333333333333,6.21428571428571,5.375,4.35714285714286,4.90909090909091,3.63636363636364,5.9,4.14285714285714,6.3,5.58333333333333,5.05,6.83333333333333,6.7,4.3,6.5,4.5,6.875,6.42857142857143,5.45454545454545,6.58333333333333,6.71428571428571,5.4,6.41666666666667,6.5,5.75,4.58333333333333,6.35,5.5,6.5,6.33333333333333,5.6875,5.94444444444444,6.6875,6,6.875,6.5,6.5,6.9,6.91666666666667,6.125,7,6.14285714285714,6.33333333333333,6.95,6.9,6.1,6,6.66666666666667
"#09384C",5.07142857142857,3.5,3,0.642857142857143,0.944444444444444,2.13636363636364,3.5,0.25,1.6875,2.92857142857143,3,3.125,5.08333333333333,3.0625,3.71428571428571,3.375,4.625,3.22222222222222,3.3125,4.1,2.5,5.66666666666667,3.81818181818182,4.08333333333333,5.0625,4.91666666666667,4.28571428571429,3.25,4.38888888888889,3.8125,5.5,5.08333333333333,5.3,4.35,4.83333333333333,5,4.625,5.18181818181818,3.92857142857143,5.5,4.42857142857143,4.27777777777778,5.91666666666667,6.40909090909091,6.16666666666667,5.61111111111111,6.08333333333333,6.1,5.1,5.1875,4.25,5.7,4.22222222222222,6,5.9,4.75,6.4,6.11111111111111,5.88888888888889,6.61111111111111,5.05555555555556,6.27777777777778,6.55,5.4375,6.5,5.5,5.7,6.66666666666667,6.375,6.5,6.16666666666667,6.5,6.16666666666667,6.25,6.5,5.9375,6.5625,6.7,6.55555555555556,6.5,6.72222222222222,6.38888888888889,6.7,7,6.63636363636364,6.85714285714286,6.7,6.57142857142857,6.67857142857143,6.5625,6.27777777777778,6.875,7
"#0A3B38",4.55555555555556,5.77777777777778,4,2.8125,5.125,1,4.27777777777778,1.6875,1.5,5.16666666666667,0.961538461538462,4.33333333333333,3.66666666666667,4.08333333333333,2.27777777777778,4.5625,4.5,4.7,2.2,5,4.57692307692308,4,4.5,5.66666666666667,5.5,3.5,3.6875,5.3,5.05,4.5,6.64285714285714,3.4375,5.7,3.7,4.5,3.41666666666667,6,5.55555555555556,4.5,5.75,5.13636363636364,5,3.64285714285714,6.14285714285714,6.5,6.55,6.11111111111111,4.2,3.35,4.61111111111111,6.21428571428571,6.5,4.7,6.57142857142857,6.35714285714286,6.09090909090909,6.5625,6.5,4.2,6.5,3.79166666666667,6.875,6.33333333333333,4.625,6.15,6.5,4.33333333333333,5.44444444444444,6.55555555555556,6.3,4.5,7,4,6.875,6.375,6.55555555555556,5.71428571428571,6.9,7,6.4375,6.63636363636364,6.76923076923077,7,6.5,6.81818181818182,6.625,7,6.625,6.75,6.66666666666667,6.5,6.64285714285714,7
"#0C4FA2",6.9,1.5,0.545454545454545,3.57142857142857,1.88888888888889,4.33333333333333,3.0625,2.92857142857143,5.16666666666667,0.25,6,4.125,5.9,3.55555555555556,6.07142857142857,2.75,5,3,5.21428571428571,2.28571428571429,2.5,6.25,4.08333333333333,1,5.6,6.42857142857143,5.125,4.15,6,2.83333333333333,6.75,6.33333333333333,5.66666666666667,5.71428571428571,3,5.64285714285714,5.625,6.55555555555556,4.6,5,3.5,3,5.92857142857143,7,6.72222222222222,6.08333333333333,6.5,6.42857142857143,5,6,3.3,5.61111111111111,4.3,6.13636363636364,6.375,3.8,6.86363636363636,6.14285714285714,6.04545454545455,6.375,5.72222222222222,6.66666666666667,6.25,6.41666666666667,6.9,6.66666666666667,6.66666666666667,6.4375,6.16666666666667,6.15,7,7,6.61111111111111,6.6875,6.57142857142857,6.83333333333333,6.55555555555556,6.8,6.61111111111111,6.8,6.80769230769231,6.6875,7,6.83333333333333,6.5625,6.625,6.71428571428571,6.5,6.64285714285714,6.9375,6.88888888888889,6.6875,6.83333333333333
