"","firstColour","secondColour","value"
"1","#E088A1","#E088A1",0.416666666666667
"2","#E088A1","#C4577A",3
"3","#E088A1","#B06079",2.5
"4","#E088A1","#9C1C53",3.71428571428571
"5","#E088A1","#7C3D4E",4.25
"6","#E088A1","#7D0B45",3.42857142857143
"7","#E088A1","#52253C",4.5
"8","#E088A1","#B28AB7",1.9375
"9","#E088A1","#8F5AA8",5
"10","#E088A1","#8B5F92",4.25
"11","#E088A1","#642B7C",4.875
"12","#E088A1","#5D4263",4.58333333333333
"13","#E088A1","#430F59",4.41666666666667
"14","#E088A1","#331F3B",4.5
"15","#E088A1","#9796C0",5.16666666666667
"16","#E088A1","#7171C9",5.35714285714286
"17","#E088A1","#716B92",5.5
"18","#E088A1","#39319E",5.8
"19","#E088A1","#4E486C",4.78571428571429
"20","#E088A1","#261D6E",5.85714285714286
"21","#E088A1","#171639",6.09090909090909
"22","#E088A1","#86A2C9",5.35714285714286
"23","#E088A1","#427AC4",6.75
"24","#E088A1","#5F7AA7",4.5
"25","#E088A1","#0C4FA2",5.3
"26","#E088A1","#3F597A",6.14285714285714
"27","#E088A1","#022C88",5.4
"28","#E088A1","#032040",5.90909090909091
"29","#E088A1","#73B7C3",5.44444444444444
"30","#E088A1","#3394B7",5.3125
"31","#E088A1","#5891A2",5.77777777777778
"32","#E088A1","#02529A",6.5
"33","#E088A1","#2F2874",5.6875
"34","#E088A1","#03406F",5.77777777777778
"35","#E088A1","#09384C",5.8125
"36","#E088A1","#8DCFC1",4.4375
"37","#E088A1","#41A79A",5.23076923076923
"38","#E088A1","#68A899",4.5
"39","#E088A1","#086E79",4.92857142857143
"40","#E088A1","#367467",5.83333333333333
"41","#E088A1","#034E49",6.33333333333333
"42","#E088A1","#0A3B38",6.58333333333333
"43","#E088A1","#A3E2AC",4.35714285714286
"44","#E088A1","#5FC16E",6.5
"45","#E088A1","#83B37F",4.25
"46","#E088A1","#40A144",5.2
"47","#E088A1","#487F55",6
"48","#E088A1","#207427",6.85714285714286
"49","#E088A1","#163D1F",5.25
"50","#E088A1","#D8E26A",4.9
"51","#E088A1","#C5DD24",5.1875
"52","#E088A1","#AEBE5A",5
"53","#E088A1","#AAC901",6.66666666666667
"54","#E088A1","#84932A",5.22222222222222
"55","#E088A1","#758E00",5.4
"56","#E088A1","#445507",5.83333333333333
"57","#E088A1","#FBEC77",5.58333333333333
"58","#E088A1","#FCDD2A",5
"59","#E088A1","#D3BE51",5.25
"60","#E088A1","#F4D000",5
"61","#E088A1","#AF972D",5.11111111111111
"62","#E088A1","#AA8F02",5.41666666666667
"63","#E088A1","#685A14",5
"64","#E088A1","#FAC88D",4.4375
"65","#E088A1","#FBA628",5.35714285714286
"66","#E088A1","#E49A5B",3.35
"67","#E088A1","#FF8F00",5.1
"68","#E088A1","#AE783C",4.71428571428571
"69","#E088A1","#AC6401",4.75
"70","#E088A1","#76450B",6.06666666666667
"71","#E088A1","#FAAF99",2.9
"72","#E088A1","#FB702E",5.41666666666667
"73","#E088A1","#E67E72",2.88888888888889
"74","#E088A1","#E83406",3.7
"75","#E088A1","#A25739",3.91666666666667
"76","#E088A1","#A51A01",3.92857142857143
"77","#E088A1","#782918",3.83333333333333
"78","#E088A1","#F699A1",0.666666666666667
"79","#E088A1","#E26164",2.22222222222222
"80","#E088A1","#D2797D",2.4
"81","#E088A1","#DA0B27",4
"82","#E088A1","#96484B",3.11111111111111
"83","#E088A1","#9B081A",3.5
"84","#E088A1","#591D1F",3.8125
"85","#E088A1","#010300",6.38461538461539
"86","#E088A1","#293028",6.375
"87","#E088A1","#595F51",5.0625
"88","#E088A1","#5D6355",5.95
"89","#E088A1","#7E8274",5.4375
"90","#E088A1","#9DA193",5.57142857142857
"91","#E088A1","#B4BAAC",4.91666666666667
"92","#E088A1","#D8DACD",5.6875
"93","#E088A1","#F6F7F1",5.125
"94","#C4577A","#C4577A",1.91666666666667
"95","#C4577A","#B06079",1.57142857142857
"96","#C4577A","#9C1C53",2.41666666666667
"97","#C4577A","#7C3D4E",3.1
"98","#C4577A","#7D0B45",2.83333333333333
"99","#C4577A","#52253C",4.05555555555556
"100","#C4577A","#B28AB7",4.05
"101","#C4577A","#8F5AA8",4.875
"102","#C4577A","#8B5F92",3.125
"103","#C4577A","#642B7C",4.33333333333333
"104","#C4577A","#5D4263",4.375
"105","#C4577A","#430F59",4.625
"106","#C4577A","#331F3B",5.2
"107","#C4577A","#9796C0",4.125
"108","#C4577A","#7171C9",4.33333333333333
"109","#C4577A","#716B92",4.13636363636364
"110","#C4577A","#39319E",5.5
"111","#C4577A","#4E486C",4.3125
"112","#C4577A","#261D6E",4.83333333333333
"113","#C4577A","#171639",6.10714285714286
"114","#C4577A","#86A2C9",4.55
"115","#C4577A","#427AC4",5.83333333333333
"116","#C4577A","#5F7AA7",5.22222222222222
"117","#C4577A","#0C4FA2",5.88888888888889
"118","#C4577A","#3F597A",5.3125
